"Status","Source","Bid Multiplier","Inventory","Opportunities","Target Rate","Bids","Bid Rate","Impressions","Clicks","Leads","Calls","CTR","Avg Bid","CPC","Spend","Win Rate","Bound","Bound CVR","Bound CPA","Bound Rev","Bound ROAS","Contacted","Contacted CVR","Contacted CPA","Contacted Rev","Contacted ROAS","Quote","Quote CVR","Quote CPA","Quote Rev","Quote ROAS","Profit","CM"
"Active","Email","100%","3","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Paid Search","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 2","100%","17","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Referral","100%","176","1","0.56%","1","100%","0","0","0","0","0%","$6.51","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Referral 2","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Native/Display/Social","100%","7","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Native/Display/Social 2","100%","559","6","1.07%","4","66.66%","0","0","0","0","0%","$6.51","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Internal SEO","100%","3,780","15","0.39%","11","73.33%","0","0","0","0","0%","$6.51","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Internal SEO 2","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Tier 1","150%","202,045","5,657","2.79%","3,360","59.39%","144","35","27","5","24.3%","$9.77","$9.77","$341.95","1.04%","0","0%","$0.00","$0.00","0.00","3","8.571%","$113.98","$0.00","0.00","2","5.714%","$170.98","$0.00","0.00","$0.00","0%"
"Active","Tier 2","115%","31,311","701","2.23%","364","51.92%","23","9","8","0","39.13%","$7.49","$7.49","$67.41","2.47%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Tier 3","100%","48,453","1,586","3.27%","801","50.5%","241","43","26","3","17.84%","$6.51","$6.51","$279.93","5.37%","0","0%","$0.00","$0.00","0.00","1","2.326%","$279.93","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Home Search","100%","11,970","96","0.8%","47","48.95%","0","0","0","0","0%","$6.51","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 3","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 4","100%","3","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Email","100%","5","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 6","100%","2","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 7","100%","13","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5","100%","7","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Home SearchB","125%","10,932","229","2.09%","123","53.71%","13","8","7","0","61.53%","$8.14","$8.14","$65.12","6.5%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","NA","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Paid Search 5C","100%","6","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Test","100%","0","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
"Active","Premium Email B","100%","1","0","0%","0","0%","0","0","0","0","0%","$0.00","$0.00","$0.00","0%","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","0","0%","$0.00","$0.00","0.00","$0.00","0%"
